radius,degree,feature_scale_px,detection_rate,detection_magnitude,white_noise_gain,threshold
40,11,128,0.00000000000000000e+00,3.75105949448506550e-08,2.19488043208888449e-04,4.10818748342767388e-04
40,11,256,0.00000000000000000e+00,3.59863655961687438e-08,2.19488043208888449e-04,4.10818748342767388e-04
50,11,2,1.00000000000000000e+00,9.39520712969766454e-04,8.99855315042367542e-05,2.63045674581399746e-04
50,11,4,1.00000000000000000e+00,3.92674219187763747e-03,8.99855315042367542e-05,2.63045674581399746e-04
50,11,8,1.00000000000000000e+00,1.49747188750272483e-02,8.99855315042367542e-05,2.63045674581399746e-04
50,11,16,1.00000000000000000e+00,4.49975619415327807e-02,8.99855315042367542e-05,2.63045674581399746e-04
50,11,32,1.00000000000000000e+00,6.01106896502571209e-02,8.99855315042367542e-05,2.63045674581399746e-04
50,11,64,1.00000000000000000e+00,2.14799870286475070e-02,8.99855315042367542e-05,2.63045674581399746e-04
50,11,128,1.00000000000000000e+00,6.27455317864810368e-03,8.99855315042367542e-05,2.63045674581399746e-04
50,11,256,0.00000000000000000e+00,3.86691338661432345e-08,8.99855315042367542e-05,2.63045674581399746e-04
64,11,2,1.00000000000000000e+00,3.61322586238800418e-04,3.35342455061318436e-05,1.60579126620776278e-04
64,11,4,1.00000000000000000e+00,1.51999102405819841e-03,3.35342455061318436e-05,1.60579126620776278e-04
64,11,8,1.00000000000000000e+00,5.96612505246114488e-03,3.35342455061318436e-05,1.60579126620776278e-04
64,11,16,1.00000000000000000e+00,2.00155309564896342e-02,3.35342455061318436e-05,1.60579126620776278e-04
64,11,32,1.00000000000000000e+00,5.86936251649060048e-02,3.35342455061318436e-05,1.60579126620776278e-04
64,11,64,1.00000000000000000e+00,3.67400406385058401e-02,3.35342455061318436e-05,1.60579126620776278e-04
64,11,128,1.00000000000000000e+00,8.84946938384260744e-03,3.35342455061318436e-05,1.60579126620776278e-04
64,11,256,0.00000000000000000e+00,2.41582701846526270e-08,3.35342455061318436e-05,1.60579126620776278e-04
80,11,2,1.00000000000000000e+00,1.50693075424841532e-04,1.37408064245151919e-05,1.02790015718564197e-04
80,11,4,1.00000000000000000e+00,6.36258003586506532e-04,1.37408064245151919e-05,1.02790015718564197e-04
80,11,8,1.00000000000000000e+00,2.53794170284396287e-03,1.37408064245151919e-05,1.02790015718564197e-04
80,11,16,1.00000000000000000e+00,9.03545217719645653e-03,1.37408064245151919e-05,1.02790015718564197e-04
80,11,32,1.00000000000000000e+00,3.75337035828039040e-02,1.37408064245151919e-05,1.02790015718564197e-04
80,11,64,1.00000000000000000e+00,3.98969374317971730e-03,1.37408064245151919e-05,1.02790015718564197e-04
80,11,128,1.00000000000000000e+00,1.09694892035306600e-02,1.37408064245151919e-05,1.02790015718564197e-04
80,11,256,0.00000000000000000e+00,2.17728729036788229e-08,1.37408064245151919e-05,1.02790015718564197e-04
100,11,2,0.00000000000000000e+00,6.22697744675189478e-05,5.61431385062829413e-06,6.57042050483585887e-05
100,11,4,1.00000000000000000e+00,2.63531623371282987e-04,5.61431385062829413e-06,6.57042050483585887e-05
100,11,8,1.00000000000000000e+00,1.06204652660875712e-03,5.61431385062829413e-06,6.57042050483585887e-05
100,11,16,1.00000000000000000e+00,3.92411058057374335e-03,5.61431385062829413e-06,6.57042050483585887e-05
100,11,32,1.00000000000000000e+00,1.99005252827359411e-02,5.61431385062829413e-06,6.57042050483585887e-05
100,11,64,1.00000000000000000e+00,2.85916094562807532e-02,5.61431385062829413e-06,6.57042050483585887e-05
100,11,128,1.00000000000000000e+00,9.58599319118684512e-03,5.61431385062829413e-06,6.57042050483585887e-05
100,11,256,1.00000000000000000e+00,3.32937039070798756e-03,5.61431385062829413e-06,6.57042050483585887e-05
128,11,2,0.00000000000000000e+00,1.64679549778040801e-05,1.47298311312059712e-06,3.36545436293200404e-05
128,11,4,1.00000000000000000e+00,6.98178983565957232e-05,1.47298311312059712e-06,3.36545436293200404e-05
128,11,8,1.00000000000000000e+00,2.83718926632383261e-04,1.47298311312059712e-06,3.36545436293200404e-05
128,11,16,1.00000000000000000e+00,1.08081936513014206e-03,1.47298311312059712e-06,3.36545436293200404e-05
128,11,32,1.00000000000000000e+00,6.37811182928606571e-03,1.47298311312059712e-06,3.36545436293200404e-05
128,11,64,1.00000000000000000e+00,2.27273306661477624e-02,1.47298311312059712e-06,3.36545436293200404e-05
128,11,128,1.00000000000000000e+00,1.28067303282053020e-02,1.47298311312059712e-06,3.36545436293200404e-05
128,11,256,1.00000000000000000e+00,5.98466280633165506e-03,1.47298311312059712e-06,3.36545436293200404e-05
