frequency_cyc_px,orientation_deg,mag_error,phase_error,snr_or_severity
1.25000000000000000e-01,165.000000,-7.60812095403360700e-01,-6.94027243337558275e-05,1000
2.50000000000000000e-01,165.000000,-1.56495556892071663e+00,3.14155341000522270e+00,1000
1.56250000000000000e-02,170.000000,-7.19200062589270273e-04,1.15908818531629265e-04,1000
3.12500000000000000e-02,170.000000,-1.76365772857198788e-02,3.93209178595199660e-05,1000
6.25000000000000000e-02,170.000000,-2.74049889142283010e-01,-1.07862851525641901e-04,1000
1.25000000000000000e-01,170.000000,-7.61907920191655541e-01,-2.03784983670018960e-05,1000
2.50000000000000000e-01,170.000000,-1.56531932966618159e+00,3.14142993362178569e+00,1000
1.56250000000000000e-02,175.000000,-6.66561918536465181e-04,-9.82189352116691339e-06,1000
3.12500000000000000e-02,175.000000,-1.74674582759087316e-02,-1.04052295206713552e-05,1000
6.25000000000000000e-02,175.000000,-2.72729012930749470e-01,-6.17603176502612428e-05,1000
1.25000000000000000e-01,175.000000,-7.62779723063380488e-01,-8.17540512398906571e-06,1000
2.50000000000000000e-01,175.000000,-1.56396769366333399e+00,-3.14158883908128228e+00,1000
1.56250000000000000e-02,0.000000,-8.56058994930908312e-04,1.69076364078257768e-05,100
3.12500000000000000e-02,0.000000,-1.71221068480863492e-02,-2.68896181667699352e-05,100
6.25000000000000000e-02,0.000000,-2.72064204931424192e-01,5.73810871876467843e-04,100
1.25000000000000000e-01,0.000000,-7.63080577810610006e-01,9.67609597760876738e-04,100
2.50000000000000000e-01,0.000000,-1.56313613962929776e+00,3.14145149442134830e+00,100
1.56250000000000000e-02,5.000000,-6.75384778489093729e-04,-3.59058174409732089e-04,100
3.12500000000000000e-02,5.000000,-1.75787077449912899e-02,3.34608820078408087e-05,100
