frequency_cyc_px,orientation_deg,mag_error,phase_error,snr_or_severity
2.50000000000000000e-01,75.000000,-1.56495002160015462e+00,3.13971597389361179e+00,0.4
1.56250000000000000e-02,80.000000,-5.18374147037481414e-04,2.08094881591680547e-04,0.4
3.12500000000000000e-02,80.000000,-1.77719468148052617e-02,2.39722147400200924e-04,0.4
6.25000000000000000e-02,80.000000,-2.74111392156808853e-01,2.70525533640153526e-04,0.4
1.25000000000000000e-01,80.000000,-7.61940475885651725e-01,5.20238691132934861e-04,0.4
2.50000000000000000e-01,80.000000,-1.56532211623207829e+00,3.14143116091989416e+00,0.4
1.56250000000000000e-02,85.000000,-6.64661575175293229e-04,1.60146767787860966e-03,0.4
3.12500000000000000e-02,85.000000,-1.73783582430430128e-02,-9.18489534910804650e-04,0.4
6.25000000000000000e-02,85.000000,-2.72815982533544221e-01,1.93014943559610685e-04,0.4
1.25000000000000000e-01,85.000000,-7.62815180413222937e-01,-6.03622967230599272e-04,0.4
2.50000000000000000e-01,85.000000,-1.56397076609000751e+00,-3.14086008414174778e+00,0.4
1.56250000000000000e-02,90.000000,-9.91651179013480766e-04,5.96591219270692363e-05,0.4
3.12500000000000000e-02,90.000000,-1.69851169014340608e-02,1.77370550714739394e-03,0.4
6.25000000000000000e-02,90.000000,-2.71933232897746124e-01,1.33228814704988707e-03,0.4
1.25000000000000000e-01,90.000000,-7.63089003156432799e-01,-3.98430606178390434e-04,0.4
2.50000000000000000e-01,90.000000,-1.56313822764667143e+00,3.14094321739359206e+00,0.4
1.56250000000000000e-02,95.000000,-6.46249375015284233e-04,9.28725085354464852e-04,0.4
3.12500000000000000e-02,95.000000,-1.74860953423933707e-02,-5.54800018881529411e-04,0.4
6.25000000000000000e-02,95.000000,-2.72666723743385297e-01,-3.40368328442419710e-04,0.4
1.25000000000000000e-01,95.000000,-7.62776044008986021e-01,2.03186427593315955e-04,0.4
2.50000000000000000e-01,95.000000,-1.56396763238237613e+00,3.14123724453181019e+00,0.4
1.56250000000000000e-02,100.000000,-6.92780709874135647e-04,-3.58677278529118126e-04,0.4
3.12500000000000000e-02,100.000000,-1.77891254613906924e-02,-7.69569403669123631e-06,0.4
6.25000000000000000e-02,100.000000,-2.73924447448250952e-01,-2.34786347160564901e-04,0.4
1.25000000000000000e-01,100.000000,-7.61915569117041613e-01,-4.96361685180524148e-04,0.4
2.50000000000000000e-01,100.000000,-1.56532409148262541e+00,3.14104151601855097e+00,0.4
1.56250000000000000e-02,105.000000,-6.69053776488404139e-04,-9.70903694634817072e-04,0.4
3.12500000000000000e-02,105.000000,-1.78287729400137263e-02,-5.06807604097048170e-05,0.4
6.25000000000000000e-02,105.000000,-2.76130187988134213e-01,3.81775317102039935e-05,0.4
1.25000000000000000e-01,105.000000,-7.60804200171371736e-01,4.11846809678095838e-05,0.4
2.50000000000000000e-01,105.000000,-1.56495991591637029e+00,3.14120207470846768e+00,0.4
1.56250000000000000e-02,110.000000,-6.14937842275051216e-04,8.87595662097950822e-04,0.4
3.12500000000000000e-02,110.000000,-1.83290004460395783e-02,-4.04693502749076117e-04,0.4
6.25000000000000000e-02,110.000000,-2.78628444676502440e-01,1.57681576198331896e-04,0.4
1.25000000000000000e-01,110.000000,-7.59933465629678562e-01,9.13128802072726842e-04,0.4
2.50000000000000000e-01,110.000000,-1.56589610038303917e+00,3.14121686024246927e+00,0.4
1.56250000000000000e-02,115.000000,-7.27262265733760738e-04,2.19049658650050105e-04,0.4
