frequency_cyc_px,orientation_deg,mag_error,phase_error,snr_or_severity
6.25000000000000000e-02,110.000000,-2.78541012926570131e-01,8.87185502307374918e-06,30 dB
1.25000000000000000e-01,110.000000,-7.59912380947003085e-01,-1.14476239819083503e-04,30 dB
2.50000000000000000e-01,110.000000,-1.56589470418858911e+00,3.14158825913850048e+00,30 dB
1.56250000000000000e-02,115.000000,-6.97062944086557223e-04,-1.63424667123379663e-05,30 dB
3.12500000000000000e-02,115.000000,-1.84413074970125324e-02,5.15474361213463794e-05,30 dB
6.25000000000000000e-02,115.000000,-2.81123620423125498e-01,-1.09356812812322346e-04,30 dB
1.25000000000000000e-01,115.000000,-7.59377551020295805e-01,1.81617050369453636e-04,30 dB
2.50000000000000000e-01,115.000000,-1.57001972417974534e+00,-3.14099987226006894e+00,30 dB
1.56250000000000000e-02,120.000000,-7.10405521754567393e-04,-2.02580266484009286e-04,30 dB
3.12500000000000000e-02,120.000000,-1.86791565856207487e-02,7.63411556059523377e-06,30 dB
6.25000000000000000e-02,120.000000,-2.83559591717610970e-01,-5.02284303327549253e-05,30 dB
1.25000000000000000e-01,120.000000,-7.58870276156755619e-01,8.57753928293902845e-05,30 dB
2.50000000000000000e-01,120.000000,-1.57027463960764391e+00,-3.14154569651354798e+00,30 dB
1.56250000000000000e-02,125.000000,-7.07380502546928192e-04,-3.92683608616550828e-05,30 dB
3.12500000000000000e-02,125.000000,-1.88866129096538216e-02,1.28122625975279902e-06,30 dB
6.25000000000000000e-02,125.000000,-2.85558592077035434e-01,-1.08715424497418667e-04,30 dB
1.25000000000000000e-01,125.000000,-7.58057353122402522e-01,9.03622828181127602e-05,30 dB
2.50000000000000000e-01,125.000000,-1.56757377381226570e+00,-3.14155182492932905e+00,30 dB
1.56250000000000000e-02,130.000000,-7.22140562970152722e-04,-4.96370012745828149e-05,30 dB
3.12500000000000000e-02,130.000000,-1.90659037623654160e-02,2.22736019364511151e-04,30 dB
6.25000000000000000e-02,130.000000,-2.86827256734710101e-01,9.58358789824309554e-05,30 dB
1.25000000000000000e-01,130.000000,-7.57138086005044619e-01,5.74695968471594654e-05,30 dB
2.50000000000000000e-01,130.000000,-1.56974700880100815e+00,-3.14151900496697944e+00,30 dB
1.56250000000000000e-02,135.000000,-7.27922930695859560e-04,-1.01891238901252734e-04,30 dB
3.12500000000000000e-02,135.000000,-1.90918334622254271e-02,5.97643823185833867e-05,30 dB
6.25000000000000000e-02,135.000000,-2.87272221598513289e-01,5.31580768208250731e-05,30 dB
1.25000000000000000e-01,135.000000,-7.56725446290308024e-01,-1.08782929122419603e-04,30 dB
2.50000000000000000e-01,135.000000,-1.56902223320284984e+00,7.23249464193997937e-05,30 dB
1.56250000000000000e-02,140.000000,-7.21697884983260596e-04,2.33100122137841481e-06,30 dB
3.12500000000000000e-02,140.000000,-1.90441987551668301e-02,6.25812703862749231e-05,30 dB
6.25000000000000000e-02,140.000000,-2.86826122166960795e-01,-2.94772898756789914e-06,30 dB
1.25000000000000000e-01,140.000000,-7.57143303145747404e-01,1.22436525491487203e-05,30 dB
2.50000000000000000e-01,140.000000,-1.56974716040972906e+00,3.14135663190427827e+00,30 dB
1.56250000000000000e-02,145.000000,-6.92301195745453901e-04,-1.55987785964040171e-04,30 dB
3.12500000000000000e-02,145.000000,-1.89115750611504596e-02,-9.63579989035068252e-05,30 dB
6.25000000000000000e-02,145.000000,-2.85527822946673393e-01,-9.98201494719630489e-05,30 dB
1.25000000000000000e-01,145.000000,-7.58056102446173607e-01,-7.65775451236905269e-05,30 dB
2.50000000000000000e-01,145.000000,-1.56757301022911810e+00,3.14154378375163290e+00,30 dB
1.56250000000000000e-02,150.000000,-7.17599141873068169e-04,2.10411701375701199e-04,30 dB
3.12500000000000000e-02,150.000000,-1.87111957795762229e-02,-1.09655056800050943e-04,30 dB
6.25000000000000000e-02,150.000000,-2.83580219158085178e-01,-1.24845774688964184e-04,30 dB
1.25000000000000000e-01,150.000000,-7.58866792377963506e-01,2.43917959841244425e-04,30 dB
